id;target;source
49533;Eso le costó su trabajo.;That cost him his job.
49534;No hable tan rápido, por favor.;Don't speak so fast, please.
49535;El perro duerme.;The dog sleeps.
49536;Llegamos aquí primero.;We got here first.
49537;Acabo de desayunar.;I've just eaten breakfast.
49538;Esta vez mi objetivo es París.;This time my goal is Paris.
49539;El error le costó la cabeza.;The mistake cost him his head.
49540;Ella debería desayunar.;She should eat breakfast.
49541;Mis padres todavía no conocen a mi novia.;My parents still haven't met my girlfriend.
49542;Después de una hora en coche, llegamos al aeropuerto.;After an hour of traveling by car, we arrived at the airport.
49543;Ten confianza.;Be confident.
49544;¿Está satisfecho con el resultado?;Are you satisfied with the result?
49545;¿Hay alguien aquí que hable inglés?;Is there someone here who speaks English?
49546;Llegamos ahí antes de mediodía.;We arrived there before noon.
49547;Tom no estaba satisfecho.;Tom wasn't satisfied.
49548;Voy a estar despierto toda la noche.;I'll be awake the whole night.
49549;¿Hay algún médico que hable japonés?;Do you know any doctors who speak Japanese?
49550;Me encantan las películas.;I love movies.
49551;Tom ha vivido en Boston durante más de un año.;Tom has lived in Boston for more than a year.
49552;Ellos ya no tenían ganas de jugar.;They didn't feel like playing any more.
49553;No lo sabía hasta que leí el periódico.;I didn't know about it until I read the paper.
49554;No me di cuenta de que estabas despierto.;I didn't realize you were awake.
49555;El padre de Kate está cerca de la casa.;Kate's father is near the house.
49556;Mientras esperaba a Kate vi a Bob y a Mary.;Waiting for Kate, I saw Bob and Mary.
49557;Necesito alguien que hable francés.;I need someone who can speak French.
49558;Su piel es blanca como la nieve.;Her skin is whiter than snow.
49559;Ella duerme en el coche.;She sleeps in the car.
49560;Por favor, hable más rápido.;Please speak more quickly.
49561;¿Dónde duerme Tom?;Where's Tom sleeping?
49562;Tom se sentó en el brazo del sofá.;Tom sat on the arm of the couch.
49563;Bajo las escaleras.;I'm going down the stairs.
49564;Anoche leí el libro.;I read the book last night.
49565;Ella salió a caminar antes de desayunar.;She took a walk before breakfast.
49566;No me conocen allá.;They don't know me there.
49567;Tom se quitó los zapatos.;Tom took off his shoes.
49568;Tom se quitó el sombrero.;Tom took off his hat.
49569;Todos tenían hambre.;Everyone was hungry.
49570;Él siempre ha vivido en Tokio.;He's always been living in Tokyo.
49571;Veo que todavía duerme.;I see he's still asleep.
49572;Tomás duerme todo el tiempo.;Tom sleeps all the time.
49573;Estaba, hasta cierto punto, satisfecho con el resultado.;He was, to some degree, satisfied with the result.
49574;Leí algunos libros.;I read some books.
49575;Hable, por favor.;Speak, please.
49576;¿Cuál metro va al centro?;What subway goes to the center of town?
49577;Él se quitó su sombrero.;He took off his hat.
49578;Dime el objetivo de tu plan.;Tell me the object of your plan.
49579;Le falta confianza.;She lacks confidence.
49580;A ella le falta confianza.;She lacks confidence.
49581;Leí el libro más interesante en mi biblioteca.;I read the most interesting book in my library.
49582;Ellos fueron en metro.;They went by subway.
49583;Boston tiene metro.;Boston has a subway.
49584;Odio viajar en metro.;I hate travelling by subway.
49585;¿Tienes un mapa del metro?;Do you have a subway map?
49586;No le costó resolver el problema.;It was easy for him to solve the problem.
49587;Te tengo mucha confianza.;I have great faith in you.
49588;Tengo mucha confianza en vos.;I have great faith in you.
49589;Sé objetivo.;Be objective.
49590;Sea objetivo.;Be objective.
49591;Me costó algo de trabajo encontrar su casa ayer.;I had some trouble finding her house yesterday.
49592;Él me dijo "me leí este libro ayer".;He said to me, 'I read this book yesterday'.
49593;¡Hable más fuerte!;Speak up!
49594;Ellos tenían varios hijos.;They had several children.
49595;Me encantan los chicos.;I love kids.
49596;Tom se quitó la vida.;Tom took his own life.
49597;Llegamos tarde por tu culpa.;It's because of you that we were late.
49598;A ella le encantan los animales.;She adores animals.
49599;Estuve despierto la mayor parte de la noche pasada.;I was awake most of last night.
49600;Te ves satisfecho.;You look contented.
49601;Tom no tiene confianza en sí mismo.;Tom doesn't have any confidence in himself.
49602;Me leí el libro.;I read the book.
49603;¿Cuál es tu objetivo?;Which is your target?
49604;Ella se quitó el sombrero en cuanto entró a la habitación.;She removed her hat when she entered the room.
49605;¿Él ha vivido aquí por dos años?;Has he lived here for two years?
49606;Me leí la novela.;I read through the novel.
49607;Estar despierto es estar vivo.;To be awake is to be alive.
49608;Puede ir en autobús, en metro o a pie.;You can go by bus, by metro or by feet.
49609;Se puede desayunar entre las siete y las nueve.;You can have breakfast between 7 and 9.
49610;Voy al colegio en metro.;I go to school by subway.
49611;¿No te encantan los gatos?;Don't you love cats?
49612;En realidad, estoy despierto.;As it is, I am awake.
49613;Era un amigo de confianza.;He was a trusted friend.
49614;Kate tiene un perro.;Kate keeps a dog.
49615;Mi hermano no está satisfecho con su nuevo coche.;My brother is not satisfied with his new car.
49616;Kate encontró el reloj que había perdido.;Kate found the watch which she had lost.
49617;Tom y Mary se conocen.;Tom and Mary know each other.
49618;Empezó a llover en cuanto llegamos a casa.;It started raining as soon as we got home.
49619;Todos la conocen.;Everybody knows her.
49620;Mi padre se quedó satisfecho con el resultado.;My father was satisfied with the result.
49621;El anciano ha vivido aquí toda su vida.;The old man has lived here all his life.
49622;Tan pronto como llegamos allí, empezó a llover.;As soon as we got there, it began to rain.
49623;Siempre deja la ventana abierta mientras duerme.;He always leaves the window open while he sleeps.
49624;¿Cuál es el objetivo?;For what purpose?
49625;Tan pronto como llegamos a la estación comenzó a llover.;No sooner had we reached the station than it began to rain.
49626;Así que nos encantan las oraciones. Pero los idiomas nos gustan incluso más.;So we love sentences. But, even more, we love languages.
49627;Él se quitó las gafas.;He took off his glasses.
49628;Kate hizo su tarea en la cocina.;Kate did her homework in the kitchen.
49629;Leí cada libro de la biblioteca.;I have read every book in the library.
49630;No estás satisfecho, ¿verdad?;You're not satisfied, are you?
49631;Tom duerme con la ventana abierta.;Tom sleeps with his window open.
49632;¿Hay alguien que hable inglés?;Does anyone speak English?
49633;Mis padres conocen a mi novia.;My parents know my girlfriend.
49634;Duerme como un bebé.;He's sleeping like a baby.
49635;Tom ya ha terminado de desayunar.;Tom has already finished breakfast.
49636;El accidente casi le costó la vida.;The accident almost cost him his life.
49637;Nuestro tren ya se había ido cuando llegamos a la estación.;Our train had already pulled out when we arrived at the station.
49638;Como muchos de los estudiantes de nuestra escuela, Tom se queda despierto hasta tarde en la noche estudiando.;Like many students at our school, Tom stays up until late at night studying.
49639;Al comienzo, el rey estaba satisfecho con él.;The king was pleased with him at first.
49640;Duerme lo suficiente.;Get enough sleep.
49641;No deberías quedarte despierto hasta muy tarde.;You should not stay up too late.
49642;Estaba oscuro para cuando llegamos al hotel.;It was dark when we reached the hotel.
49643;Ojalá mi padre hubiera vivido mucho más.;I wish my father had lived longer.
49644;Ir a la universidad no es el objetivo de mi vida.;Entering a university is not the purpose of my life.
49645;A Tom le costó entender a Mary.;Tom found it difficult to understand Mary.
49646;Kate es más inteligente que cualquier otro estudiante en nuestra clase.;Kate is smarter than any other student in our class is.
49647;Tom y Mary no se conocen.;Tom and Mary don't know each other.
49648;Creo que él ha vivido en España.;He lived in Spain, I think.
49649;Cuando él dejó de correr, estaba satisfecho.;When he stopped running, he was satisfied.
49650;Leí tu carta ayer.;I read your letter yesterday.
49651;No estoy satisfecho con su explicación.;I am not satisfied with your explanation.
49652;Él se quitó el abrigo porque hacía calor.;He took the coat off because it was warm.
49653;¿Está satisfecho?;Is he satisfied?
49654;¿Estás satisfecho?;Are you satisfied?
49655;Estoy muy satisfecho con mi trabajo.;I am very pleased with my job.
49656;¿Cuánto costó? "Me costó mil yenes.";How much did it cost? "It cost me a thousand yen."
49657;Ellos no nos conocen.;They don't know us.
49658;Leí sobre el accidente en el periódico.;I read about the accident in the newspaper.
49659;Ella se quitó el abrigo.;She took off her coat.
49660;Leí el libro entero.;I read the entire book.
49661;Me despierto a las siete.;I wake up at 7 o'clock.
49662;Él trabaja toda la noche y duerme todo el día.;He works all night and he sleeps all day.
49663;En aquel momento yo aún estaba despierto.;At that time, I was still awake.
49664;Me costó cerrar la puerta.;I found it hard to close the door.
49665;Le leí la carta.;I read the letter to him.
49666;Se cayó por las escaleras.;He tumbled down the stairs.
49667;Un borracho se cayó por las escaleras.;A drunk man fell down the stairs.
49668;¿Pero no costó caro?;But wasn't it expensive?
49669;¿Me conocen?;Do you know me?
49670;Estoy feliz y satisfecho.;I'm happy and satisfied.
49671;Todos conocen la ley.;Everyone knows the law.
49672;Mi tío ha vivido muchos años en el extranjero.;My uncle lived abroad for many years.
49673;Ella bajó a desayunar a las ocho.;She came down to breakfast at eight.
49674;El objetivo de toda vida es la muerte.;The aim of all life is death.
49675;A menudo, Tom habla mientras duerme.;Tom frequently talks in his sleep.
49676;Me gustó mucho el artículo que leí.;I liked a lot the article I read.
49677;Estoy enamorado, puedo morir; ¡he vivido el más hermoso y el mejor de los sueños!;I'm in love, I can die; I have lived the best and most beautiful of dreams!
49678;Un gato duerme sobre una silla.;A cat sleeps on a chair.
49679;Bebe menos y duerme más.;Drink less and sleep more.
49680;Llegamos a la estación a tiempo.;We reached the station on time.
49681;La felicidad no es el objetivo, si no que el camino.;Happiness isn't the destination, happiness is the journey.
49682;No se conocen muy bien.;They don't know each other very well.
49683;Recuerda que aún tienes mi confianza.;Remember you still have my confidence.
49684;Nadie estaba satisfecho.;None were satisfied.
49685;¿Estás satisfecho con mi explicación?;Are you satisfied with my explanation?
49686;Bajó a desayunar.;He came down to breakfast.
49687;Duerme como si fuera un bebé.;He's sleeping like a baby.
49688;Esta novela es más interesante que la que leí la semana pasada.;This novel is more interesting than the one I read last week.
49689;Tom se quitó su camisa.;Tom took his shirt off.
49690;El viaje me costó mucho.;The trip cost me a lot.
49691;Ya que he vivido en Tokio antes, conozco bastante bien la ciudad.;Since I lived in Tokyo, I know that city pretty well.
49692;Las dos mujeres se conocen la una a la otra.;The two women know each other.
49693;Tom llevó a Kate a casa.;Tom walked Kate home.
49694;¿Has vivido alguna vez en un edificio viejo?;Have you ever lived in an old building?
49695;¿Has vivido alguna vez en una gran ciudad?;Have you ever lived in a big city?
49696;Perdón pero estoy buscando a mi hermana. ¿Está aquí? No la he visto por un par de horas desde que llegamos.;Sorry but I looking for my sister. Is she here? I haven't seen her for a couple hours since we arrived.
49697;Yo estoy muy satisfecho de oír las noticias.;I am very pleased to hear the news.
49698;No te sientes en el sofá.;Don't sit down on the sofa.
49699;Alguien ha estado durmiendo en este sofá.;Somebody has been sleeping on this sofa.
49700;Tom se quedó dormido en el sofá.;Tom fell asleep on the sofa.
49701;Todavía no leí el diario de hoy.;I haven't read today's newspaper yet.
49702;Llegamos primero.;We arrived first.
49703;Hable despacio, por favor.;Speak slowly, please.
49704;Se lo quitó.;She took it off.
49705;¿Qué es más rápido, un taxi o el metro?;Which is quicker, a taxi or the subway?
49706;Leí cuatro libros nuevos.;I read four new books.
49707;Ayer por la noche me leí un libro.;Last night I read a book.
49708;Nunca hemos vivido aquí.;We've never lived here.
49709;Se quedó despierto toda la noche leyendo una novela.;He sat up all night reading a novel.
49710;¿Está usted satisfecho con su nuevo trabajo?;Are you pleased with your new job?
49711;Esta historia es muy famosa, todos la conocen.;This story is very famous; everyone knows it.
49712;Por favor hable más alto.;Could you speak a little louder please?
49713;Mi hija duerme ocho horas al día.;My daughter sleeps eight hours a day.
49714;Fue un libro tan interesante que lo leí en un día.;It was such an interesting book that I read it in a day.
49715;El que no está satisfecho con poco, no está satisfecho con nada.;He who is not satisfied with a little, is satisfied with nothing.
49716;No sabía que tenían un gato.;I didn't know you had a cat.
49717;¡El metro está a la derecha!;The metro is on the right!
49718;Llegamos a la estación a las cinco.;We arrived at the station at five.
49719;¿Ya casi llegamos?;Are we almost there?
49720;¿Se conocen el uno al otro?;Do you know each other?
49721;Acabo de terminar de desayunar.;I've just finished breakfast.
49722;Tom y Mary se conocen bien.;Tom and Mary know each other well.
49723;Tom y Mary no se conocen muy bien.;Tom and Mary don't know each other very well.
49724;Leí muchos libros en inglés.;I read a lot of books in English.
49725;Él está bastante satisfecho con el resultado.;He is quite satisfied with the result.
49726;¿Vas en autobús, en tren o en metro?;Do you go by bus, by train, or by subway?
49727;Demasiado tarde: cuando llegamos allí, Jack ya se había ido.;Too late, when we got there Jack had already gone.
49728;Eso le costó el puesto.;That cost him his job.
49729;Me despierto muy temprano.;I wake up very early.
49730;Esta mañana no he tenido tiempo de desayunar.;I didn't have time to eat breakfast this morning.
49731;El médico me dijo que debería desayunar todos los días.;The doctor told me that I should eat breakfast every day.
49732;Esta música duerme a uno.;This music puts one to sleep.
49733;Él no tiene un objetivo claro en la vida.;He doesn't have a clear objective in life.
49734;Se quedó despierto hasta tarde anoche.;He stayed up late last night.
49735;El policía le quitó el cuchillo al niño.;The policeman took the knife from the boy.
49736;¿Hay una estación de metro por aquí?;Is there a subway station around?
49737;Dejé que Kate se fuera a casa.;I allowed Kate to go home.
49738;Su auto le costó más de diez mil dólares.;His car cost him upward of ten thousand dollars.
49739;Por fin llegamos a nuestro destino.;At last, we reached our destination.
49740;¿Quieres dormir en el sofá?;Do you want to sleep on the couch?
49741;Parecía satisfecho.;He looked pleased.
49742;He vivido en China durante seis meses.;I've lived in China for six months.
49743;Me costó mucho encontrar tu piso.;It was very hard for me to find your flat.
49744;La confianza se gana.;Trust is earned.
49745;Kate es más lista que cualquier otro estudiante de nuestra clase.;Kate is smarter than any other student in our class.
49746;Tengo un serio problema a la piel.;I have a serious skin problem.
49747;¿Ustedes le conocen?;Do you know him?
49748;¿Cómo me puedo poner en contacto con un médico que hable japonés?;How can I contact a Japanese-speaking doctor?
49749;Kate sabe cómo hacer un pastel.;Kate knows how to make a cake.
49750;No tenían nada que comer.;They had no food.
49751;Ellos han vivido aquí por diez años.;They have lived here for ten years.
49752;Apenas tenemos tiempo para desayunar.;We hardly have time to eat breakfast.
49753;El libro que me leí ayer era muy interesante.;The book I read yesterday was really interesting.
49754;Le encantan los animales.;She is fond of animals.
49755;Leí un par de libros la semana pasada.;I read a few books last week.
49756;Solo quisiera desayunar en paz.;I'd just like to eat my breakfast in peace.
49757;Él siempre deja la ventana abierta cuando duerme.;He always leaves the window open while he sleeps.
49758;Ella llevó a su perro al parque antes de desayunar.;She took her dog to the park before breakfast.
49759;Él estaba completamente despierto.;He was wide awake.
49760;Ellas no nos conocen.;They don't know us.
49761;Él se quitó la camisa.;He took off his shirt.
49762;Su piel es tan blanca como la nieve.;Her skin is as white as snow.
49763;Esos dos niños tenían la misma edad.;Those two children were the same age.
49764;¿Vas por autobús, por tren o por metro?;Do you go by bus, by train, or by subway?
49765;Por favor, hable más despacio.;Please speak more slowly.
49766;Leí eso para mi familia.;I read it to my family.
49767;Tom bajó corriendo las escaleras.;Tom ran down the stairs.
49768;Ellos tenían hambre.;They were hungry.
49769;Él empezó a desayunar.;He began to eat his breakfast.
49770;Está en el sofá.;It's on the sofa.
49771;Está sobre el sofá.;It's on the sofa.
49772;Solo se tenían el uno al otro.;All they had was one another.
49773;Estoy acostumbrado a quedarme despierto hasta bien entrada la noche.;I'm used to staying up late at night.
49774;Tom estuvo despierto toda la noche.;Tom was up all night.
49775;Me quedé despierto toda la noche.;I was awake all night.
49776;¿Kate todavía no ha llegado?;Hasn't Kate arrived yet?
49777;Ha vivido aquí toda su vida.;He's lived here his entire life.
49778;He vivido aquí toda mi vida.;I've lived here my entire life.
49779;El bebé está despierto.;The baby's awake.
49780;Leí una carta.;I read a letter.
49781;El tren ya se había ido cuando llegamos a la estación.;The train had already left when we got to station.
49782;Tan solo ten cuidado con las escaleras.;Just be careful of the stairs.
49783;¡Me encantan los lunes!;I love Monday!
49784;Estoy satisfecho con mi trabajo.;I'm satisfied with my work.
49785;¿Estás seguro de que no quieres que hable de eso con Tom?;Are you sure you don't want me to talk to Tom about that?
49786;Nosotros llegamos al hotel hace una hora.;We arrived at the hotel an hour ago.
49787;Me costó encontrar un taxi.;I had trouble getting a taxi.
49788;Han vivido en esta ciudad diez años.;They have lived in this town for ten years.
49789;¿Tú crees que desayunar todos los días es importante?;Do you think that eating breakfast every day is important?
49790;Tenían miedo del maestro.;They were afraid of the teacher.
49791;Me encantan los niños.;I love kids.
49792;¿Cuándo llegamos?;When do we arrive?
49793;Llegamos a Londres ayer.;We got to London yesterday.
49794;Hable más despacio, ¡por favor!;Speak more slowly, please!
49795;Le encantan las películas.;He adores the movies.
49796;Él no es de confianza.;He cannot be relied on.
49797;Llegamos al mismo tiempo.;We got there at the same time.
49798;¿De dónde se conocen el uno al otro?;Where do you know each other from?
49799;¿De dónde se conocen?;Where do you know each other from?
49800;¿Cuál es el objetivo de hacer eso?;What's the point in doing that?
49801;Duerme y espera por la buena suerte.;Sleep and wait for good luck.
49802;Me gustaría desayunar contigo.;I'd like to have breakfast with you.
49803;Quisiera desayunar con usted.;I'd like to have breakfast with you.
49804;Por favor hable en voz baja.;Please speak in a low voice.
49805;Me siento más despierto después de tomar una taza de café.;I feel more alert after drinking a cup of coffee.
49806;Algunos de ustedes ya me conocen.;Some of you already know me.
49807;Tom no quería que Mary hable con John.;Tom didn't want Mary to speak to John.
49808;Llegamos al hotel hace una hora.;We arrived at the hotel an hour ago.
49809;Llegamos al teatro.;We arrive to the theater.
49810;Él sólo tiene un objetivo en la vida: ganar dinero.;He has only one aim in life, to make money.
49811;Era un libro tan interesante que me lo leí en un día.;It was such an interesting book that I read it in a day.
49812;Mi coche costó más que el tuyo.;My car cost more than yours did.
49813;El niño duerme en la sala de estar.;The boy sleeps in the living room.
49814;Ya se me quitó el dolor de cabeza.;My headache has gone.
49815;Tom se quitó la camisa.;Tom took off his shirt.
49816;Hable un poco más alto.;Speak a little louder.
49817;No es bueno quedarse despierto hasta tarde.;It's not good to stay up late at night.
49818;Vamos a tomar el metro.;Let's take the subway.
49819;Llegamos allí antes del mediodía.;We arrived there before noon.
49820;¿La conocen?;Do you know her?
49821;Él duerme durante el día y trabaja durante la noche.;He sleeps during the day and works at night.
49822;¿Quién es el que duerme en mi cama?;Who is it that is sleeping on my bed?
49823;No quiero que nadie hable de mí.;I don't want anybody talking about me.
49824;Caminando cinco minutos llegamos al parque.;Five minutes' walk brought us to the park.
49825;¿Estás seguro que no querés que hable con Tom?;Are you sure you don't want me to talk to Tom?
49826;No quiero dormir otra vez en el sofá esta noche.;I don't want to sleep on the couch again tonight.
49827;Leí este libro hace un par de años.;I read this book a couple of years ago.
49828;Tom está sentado en el sofá.;Tom is sitting on the couch.
49829;Duerme un poco, ¿vale?;Get some sleep, okay?
49830;Ser objetivo significa no decirle a todos del lado de quién estás.;Being objective means not telling everybody whose side you are on.
49831;Hable más despacio.;Speak more slowly.
49832;Ojalá mi padre hubiera vivido más.;I wish my father had lived longer.
49833;Tom estuvo durmiendo en el sofá casi toda la tarde.;Tom was sleeping on the couch most of the afternoon.
49834;Tom le quitó la llave a la puerta del auto.;Tom unlocked the car door.
49835;Tom le quitó la llave a la puerta del frente.;Tom unlocked the front door.
49836;Yo leí la carta primero.;I was the first to read the letter.
49837;¿Qué es lo que más te gusta desayunar?;What's your favorite breakfast food?
49838;Mi familia ha vivido aquí durante veinte años.;My family have lived here for twenty years.
49839;¿Quieres que hable con Tom acerca de lo que va a pasar?;Do you want me to talk to Tom about what's going to happen?
49840;Estoy muy satisfecho contigo.;I am pretty pleased with you.
49841;Estoy muy satisfecho.;I am very pleased.
49842;El gato está durmiendo en el sofá.;The cat is sleeping on the sofa.
49843;Llegamos a la oficina a tiempo.;We arrived at the office on time.
49844;El gato duerme sobre la silla.;The cat is sleeping on the chair.
49845;Despierto temprano.;I wake up early.
49846;Ella bajó las escaleras.;She went down the stairs.
49847;El niño duerme boca abajo.;The child is sleeping on his stomach.
49848;Él le quitó el chocolate a su hermana.;He grabbed the chocolate away from his sister.
49849;Tom pasó despierto toda la noche estudiando.;Tom was up all night studying.
49850;He perdido la confianza en usted.;I've lost faith in you.
49851;Leí el libro desde el principio hasta el final.;I read the book from beginning to end.
49852;Kate quiere terminar su tarea para las diez.;Kate wants to finish her homework by ten.
49853;¿Por cuánto han vivido aquí?;How long have you lived here?
49854;Hable más despacio, por favor.;Please speak more slowly.
49855;No leí ningún libro ayer.;I didn't read any books yesterday.
49856;Le digo esto en confianza.;I'm telling you this confidentially.
49857;Fue una reunión de confianza.;It was an informal meeting.
49858;Duerme al niño.;Put the child to sleep.
49859;El cuidado de la piel es importante.;Skincare is important.
49860;Todos los días, Kate bebe mucha leche.;Kate drinks a lot of milk every day.
49861;Solo tenían un hijo.;They had only one child.
49862;¿Por qué no tiene usted confianza en mí?;Why don't you trust me?
49863;Tom no ha vivido nunca en Boston.;Tom has never lived in Boston.
49864;Vi a Tom en las escaleras.;I saw Tom on the stairs.
49865;Él murió satisfecho con su vida.;He died content with his life.
49866;Yo leí un libro.;I read a book.
49867;Cuando llegamos a la estación, el tren ya había partido.;When we got to the station, the train had already left.
49868;No estoy satisfecho con el servicio del restaurante.;I'm not satisfied with the restaurant's service.
49869;El maestro estaba lejos de estar satisfecho con el resultado.;The teacher was far from satisfied with the result.
49870;Llegamos un poco tarde.;We arrived a little late.
49871;Leí tu carta a mi familia.;I read your letter to my family.
49872;Quiero ir allí en metro.;I want to get there by subway.
49873;Él se fue a Italia hace diez años y ha vivido ahí desde entonces.;He went to Italy ten years ago and has lived there ever since.
49874;Tom, ¿estás despierto?;Tom, are you awake?
49875;Pensé que Tom y Mary tenían una relación.;I thought Tom and Mary had a relationship.
49876;Por fin, llegamos al lago.;We finally got to the lake.
49877;Estoy satisfecho.;I'm satisfied.
49878;A ella le encantan los perros.;She is very fond of dogs.
49879;Tom ha vivido solo desde la muerte de su esposa.;Tom has lived alone ever since his wife died.
49880;No estoy satisfecho.;I'm not satisfied.
49881;Creo que ellas nos conocen.;I think they know us.
49882;Creo que te conocen.;I think they know you.
49883;Creo que ellos me conocen.;I think they know me.
49884;Ellos me conocen.;They know me.
49885;Necesito un abogado que hable francés.;I need a lawyer who can speak French.
49886;¿Me das tu número de teléfono?;Can I have your telephone number?
49887;Tom y María van al colegio juntos casi todas las mañanas.;Tom and Mary walk to school together almost every morning.
49888;El tenis es mi deporte favorito.;Tennis is my favorite sport.
49889;Él es lejos el mejor jugador del equipo.;He is by far the best player on the team.
49890;¿Cuál es el deporte más popular en los Estados Unidos?;What is the most popular sport in America?
49891;Para comenzar, debes ser honesto.;To begin with, you must be honest.
49892;No podéis venir mañana.;You can't come tomorrow.
49893;Le gusta tanto la música como el deporte.;He likes both music and sports.
49894;Ojalá el metro no estuviera tan lleno todas las mañanas.;I wish the subway wasn't so crowded every morning.
49895;Él canta bien.;He is good at singing.
49896;Mi mujer era una Smith.;My wife was a Smith.
49897;Yo estaba a punto de comenzar.;I was about to start.
49898;El problema más grande es cuándo comenzar.;When to start is the main problem.
49899;Ella dice algo cada vez que me doy la vuelta.;She says something every time I turn around.
49900;Mary no canta muy bien.;Mary doesn't sing very well.
49901;Tom suele irse a la cama antes de medianoche.;Tom usually goes to bed before midnight.
49902;Doy clases aquí cinco días a la semana.;I teach classes here five days a week.
49903;Un siglo es cien años.;A century is one hundred years.
49904;Canta algo, por favor.;Sing something, please.
49905;Hoy no hubo nubes.;There were no clouds today.
49906;Juan tiene calle.;John is streetwise.
49907;Tom también es artista.;Tom is also an artist.
49908;¿Por dónde deberíamos comenzar?;Where shall we begin?
49909;Mi sueño es ser jugador de béisbol.;My dream is to be a baseball player.
49910;Todas las mañanas voy de compras.;I go shopping every morning.
49911;Hago deporte todos los días.;I play sports every day.
49912;Está claro que él es un gran artista.;It is clear that he is a great artist.
49913;El fútbol es el deporte más popular de todos.;Soccer is the most popular of all sports.
49914;¿Cuánto le das de comer a tu perro?;How much do you feed your dog?
49915;Le doy de comer carne a mi perro al menos una vez a la semana.;I feed my dog meat at least once a week.
49916;¿Podéis decirme qué está pasando?;Can you tell me what is happening?
49917;¿Puedo comenzar?;Can I begin?
49918;No me das miedo.;You don't scare me.
49919;Vino un Señor Smith mientras tú no estabas.;A Mr. Smith came while you were out.
49920;La población de Italia es más o menos la mitad que la de Japón.;The population of Italy is about half as large as that of Japan.
49921;¿Cuál es tu deporte de verano favorito?;What's your favorite summer sport?
49922;No hay nubes en el cielo; no va a llover sobre nosotros.;There isn't a cloud in the sky; it's not going to rain on us.
49923;Deberías comenzar inmediatamente.;You should begin right away.
49924;Él quiere ser jugador de tenis.;He wants to be a tennis player.
49925;Es casi medianoche, ¡ve a la cama!;It's almost midnight. Go to bed.
49926;El deporte le ha hecho como es.;Sport has made him what he is.
49927;Juan llega a casa después de las cinco todos los días.;John arrives home after five every day.
49928;Él es el mejor jugador de nuestro equipo.;He is the best player on our team.
49929;Él parece un jugador.;He looks like a player.
49930;Es justo medianoche.;It’s just midnight.
49931;¿Cuántos años me das?;How old do you think I am?
49932;Va a comenzar el año nuevo.;The new year will begin.
49933;El Sr. Smith me enseña inglés.;Mr Smith teaches me English.
49934;Ese hombre alto es el Sr. Smith.;That tall man is Mr Smith.
49935;Tom canta.;Tom is singing.
49936;Brasil perdió a un gran artista.;Brazil lost a great artist.
49937;A veces la violencia es útil.;Sometimes violence is useful.
49938;Le doy mi palabra.;I give you my word.
49939;Eres el mejor papá de todos los tiempos.;You're the best dad ever.
49940;Tom es un verdadero artista.;Tom is a true artist.
49941;Normalmente me doy un baño después de la cena.;I usually take a bath after dinner.
49942;Canta con nosotros.;Sing with us.
49943;Sólo cuando vas al extranjero te das cuenta de lo pequeño que es Japón.;It is not until you go abroad that you realize how small Japan is.
49944;¿Qué le das de comer a tu perro?;What do you feed your dog?
49945;La población de este país es más pequeña que la de Estados Unidos.;The population of this country is smaller than that of the United States.
49946;La vida empieza cuando te das cuenta de quién eres realmente.;Life begins when we realize who we really are.
49947;La luna está detrás de las nubes.;The moon is behind the clouds.
49948;¿Me das tu número de teléfono, por favor?;Could you tell me your mobile number please?
49949;Doy de comer a mi perro dos veces al día.;I feed my dog twice a day.
49950;Mi hermana menor canta muy bien.;My youngest sister sings very well.
49951;Acabo de comenzar a estudiar esperanto.;I just started to learn Esperanto.
49952;Mike canta bien.;Mike sings well.
49953;El señor Smith salió a almorzar.;Mr Smith has gone out to lunch.
49954;No podéis ir a la ciudad.;You can't go to town.
49955;El señor Smith estudia historia china.;Mr Smith studied Chinese history.
49956;¡El fútbol no es un deporte para mujeres!;Football is no sport for girls!
49957;La población de China es ocho veces mayor que la de Japón.;The population of China is 8 times that of Japan.
49958;La población de China es como ocho veces mayor que la de Japón.;The population of China is about eight times as large as that of Japan.
49959;Tom me preguntó si sabía a qué hora iba a comenzar la reunión.;Tom asked me if I knew what time the meeting was going to start.
49960;La población de Japón es mayor que la de Canadá.;The population of Japan is larger than that of Canada.
49961;Muchos dicen que Tom es el mejor jugador de nuestro equipo.;A lot of people say Tom is the best player on our team.
49962;Smith era un hombre honesto.;Smith was an honest man.
49963;Voy a comenzar mañana.;I'm going to start tomorrow.
49964;Este deporte se vuelve cada vez más popular.;This sport is becoming more and more popular.
49965;Tienen hasta la medianoche.;You have until midnight.
49966;¿Me das un minuto?;Can I have a minute?
49967;¿Me das un poco?;Can I have some?
49968;El concierto está a punto de comenzar.;The concert is about to start.
49969;¿No te das cuenta de lo que has hecho?;Don't you realize what you've done?
49970;Eres un jugador de tenis.;You are a tennis player.
49971;¿Te das cuenta del peligro en el que estás?;Do you realize the danger you're in?
49972;Es mejor que cualquier otro jugador del equipo.;He is better than any other player in the team.
49973;La vida acaba de comenzar.;Life has just begun.
49974;El Sr. Smith debería haber dicho la verdad.;Mr. Smith should have told the truth.
49975;El hombre parado allí es el señor Smith.;The man standing over there is Mr. Smith.
49976;Tom nunca canta en público.;Tom never sings in public.
49977;No hay nubes en el cielo.;There is no cloud in the sky.
49978;Juan no sabe hablar bien en francés.;John can't speak French well.
